sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
1.712236504E+2,1.221854627E+2,1.294263760E+2,9.313003851E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
1.411056519E+2,1.059341431E+2
2.495002747E+2,1.822280884E+2
2.716255188E+2,1.997375488E+2
2.436828613E+2,1.845169067E+2
2.671623230E+2,2.029609680E+2
2.298355103E+2,1.742935181E+2
2.037048340E+2,1.573371887E+2
9.372711182E+1,7.198333740E+1
5.403518677E+1,3.986358643E+1
8.693695068E+1,6.696701050E+1
1.621055603E+2,1.219749451E+2
2.230262756E+2,1.670455933E+2
3.031539917E+2,2.264404297E+2
3.623199463E+2,2.746582031E+2
3.192520142E+2,2.416419983E+2
3.535079956E+2,2.613639832E+2
3.696250916E+2,2.775192261E+2
3.984642029E+2,2.986526489E+2
2.690696716E+2,2.009582520E+2
3.332138062E+2,2.456092834E+2
3.873634338E+2,2.931594849E+2
3.468513489E+2,2.631378174E+2
3.027153015E+2,2.276039124E+2
3.024864197E+2,2.280235291E+2
2.485084534E+2,1.813697815E+2
2.464866638E+2,1.833915710E+2
2.662086487E+2,1.968193054E+2
2.430534363E+2,1.864814758E+2
3.224945068E+2,2.451705933E+2
3.204154968E+2,2.453804016E+2
3.920936584E+2,2.947807312E+2
4.824256897E+2,3.742408752E+2
5.817222595E+2,4.380798340E+2
5.441284180E+2,4.146957397E+2
4.663848877E+2,3.567886353E+2
4.546356201E+2,3.425025940E+2
2.954483032E+2,2.234840393E+2
1.828575134E+2,1.392364502E+2
2.179145813E+2,1.632881165E+2
2.510643005E+2,1.928329468E+2
2.454757690E+2,1.903724670E+2
3.426742554E+2,2.615737915E+2
3.626251221E+2,2.776145935E+2
4.339027405E+2,3.299140930E+2
4.756546021E+2,3.624725342E+2
5.342864990E+2,4.047584534E+2
5.265617371E+2,4.002571106E+2
6.464385986E+2,4.949188232E+2
6.133079529E+2,4.754829407E+2
6.380462646E+2,4.851341248E+2
6.388664246E+2,4.983901978E+2
4.958915710E+2,3.828430176E+2
3.704452515E+2,2.810859680E+2
2.553367615E+2,1.902961731E+2
