sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
1.663203840E+2,9.219856053E+0,1.255080917E+2,6.961733250E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
1.609420776E+2,1.256561279E+2
1.526641846E+2,1.139640808E+2
1.595497131E+2,1.189041138E+2
1.541328430E+2,1.200103760E+2
1.500701904E+2,1.151275635E+2
1.599884033E+2,1.193428040E+2
1.529693604E+2,1.145172119E+2
1.500701904E+2,1.116180420E+2
1.380920410E+2,1.088714600E+2
1.582336426E+2,1.183128357E+2
1.548767090E+2,1.161575317E+2
1.560211182E+2,1.183891296E+2
1.626396179E+2,1.210212708E+2
1.445579529E+2,1.069641113E+2
1.430130005E+2,1.075744629E+2
1.570510864E+2,1.179695129E+2
1.534652710E+2,1.129913330E+2
1.508140564E+2,1.109886169E+2
1.531028748E+2,1.163482666E+2
1.428222656E+2,1.073837280E+2
1.719474792E+2,1.273345947E+2
1.658058167E+2,1.244544983E+2
1.523590088E+2,1.178169250E+2
1.488685608E+2,1.109886169E+2
1.607894897E+2,1.181983948E+2
1.682281494E+2,1.290130615E+2
1.652145386E+2,1.271629333E+2
1.575279236E+2,1.217079163E+2
1.531410217E+2,1.151275635E+2
1.589965820E+2,1.212120056E+2
1.572036743E+2,1.187133789E+2
1.664161682E+2,1.229858398E+2
1.519012451E+2,1.147842407E+2
1.596832275E+2,1.227569580E+2
1.648139954E+2,1.258659363E+2
1.708793640E+2,1.277542114E+2
1.546478271E+2,1.187324524E+2
1.704025269E+2,1.287651062E+2
1.618385315E+2,1.234626770E+2
1.525306702E+2,1.159667969E+2
1.590156555E+2,1.180839539E+2
1.541709900E+2,1.137733459E+2
1.568603516E+2,1.162528992E+2
1.534843445E+2,1.193046570E+2
1.527786255E+2,1.205253601E+2
1.589965820E+2,1.203918457E+2
1.610374451E+2,1.244735718E+2
1.557731628E+2,1.215744019E+2
1.752471924E+2,1.315116882E+2
1.622772217E+2,1.266479492E+2
1.531600952E+2,1.158905029E+2
1.556777954E+2,1.186370850E+2
1.587295532E+2,1.226806641E+2
1.661682129E+2,1.261329651E+2
1.579093933E+2,1.207160950E+2
1.614570618E+2,1.227378845E+2
1.499557495E+2,1.123428345E+2
1.651382446E+2,1.267433167E+2
1.677513123E+2,1.290512085E+2
1.558303833E+2,1.166152954E+2
1.457214355E+2,1.103401184E+2
1.693916321E+2,1.259803772E+2
1.642990112E+2,1.238822937E+2
1.486015320E+2,1.128578186E+2
1.534271240E+2,1.127052307E+2
1.504707336E+2,1.148796082E+2
1.578712463E+2,1.176643372E+2
1.586341858E+2,1.214027405E+2
1.608657837E+2,1.197624207E+2
1.522827148E+2,1.150321960E+2
