sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.697762719E+1,2.219283033E+0,6.149019514E+1,2.079294463E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.875991821E+1,6.385803223E+1
7.198333740E+1,6.532669067E+1
6.998062134E+1,6.378173828E+1
6.671905518E+1,6.027221680E+1
7.072448730E+1,6.298065186E+1
6.784439087E+1,6.355285645E+1
6.719589233E+1,6.164550781E+1
6.368637085E+1,5.723953247E+1
7.303237915E+1,6.513595581E+1
6.713867187E+1,6.126403809E+1
6.973266602E+1,6.229400635E+1
6.643295288E+1,5.939483643E+1
6.666183472E+1,6.006240845E+1
6.980895996E+1,6.397247314E+1
7.085800171E+1,6.505966187E+1
6.402969360E+1,5.990982056E+1
7.093429565E+1,6.362915039E+1
6.687164307E+1,6.250381470E+1
6.814956665E+1,6.059646606E+1
7.116317749E+1,6.572723389E+1
6.763458252E+1,6.137847900E+1
6.742477417E+1,6.439208984E+1
7.141113281E+1,6.589889526E+1
6.320953369E+1,6.235122681E+1
6.761550903E+1,6.160736084E+1
6.841659546E+1,6.166458130E+1
6.380081177E+1,6.120681763E+1
7.234573364E+1,6.446838379E+1
7.263183594E+1,6.843566895E+1
6.729125977E+1,6.252288818E+1
6.959915161E+1,6.364822388E+1
6.986618042E+1,5.990982056E+1
6.740570068E+1,6.107330322E+1
6.834030151E+1,5.983352661E+1
6.828308105E+1,6.187438965E+1
7.213592529E+1,6.238937378E+1
6.591796875E+1,6.061553955E+1
7.162094116E+1,6.401062012E+1
6.647109985E+1,6.227493286E+1
6.427764893E+1,6.017684937E+1
6.948471069E+1,6.364822388E+1
6.780624390E+1,6.204605103E+1
6.633758545E+1,5.758285522E+1
6.895065308E+1,6.088256836E+1
6.881713867E+1,6.368637085E+1
6.401062012E+1,6.006240845E+1
6.515502930E+1,5.916595459E+1
6.761550903E+1,6.158828735E+1
6.895065308E+1,6.338119507E+1
6.631851196E+1,6.032943726E+1
6.578445435E+1,6.011962891E+1
6.736755371E+1,6.208419800E+1
6.847381592E+1,6.425857544E+1
6.361007690E+1,6.034851074E+1
6.649017334E+1,6.126403809E+1
6.559371948E+1,5.853652954E+1
6.435394287E+1,5.825042725E+1
