sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.697762719E+1,2.219283033E+0,6.149019514E+1,2.079294463E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.303787231E+1,6.177902222E+1
6.662368774E+1,6.065368652E+1
6.519317627E+1,6.038665771E+1
6.710052490E+1,6.040573120E+1
6.349563599E+1,5.979537964E+1
6.914138794E+1,6.191253662E+1
6.748199463E+1,6.248474121E+1
6.757736206E+1,6.210327148E+1
6.597518921E+1,6.000518799E+1
7.184982300E+1,6.402969360E+1
6.540298462E+1,6.063461304E+1
6.650924683E+1,6.013870239E+1
6.790161133E+1,6.202697754E+1
6.340026855E+1,5.962371826E+1
6.761550903E+1,6.141662598E+1
6.816864014E+1,6.330490112E+1
6.702423096E+1,5.922317505E+1
6.786346436E+1,6.099700928E+1
6.649017334E+1,6.002426147E+1
6.816864014E+1,6.139755249E+1
6.616592407E+1,6.288528442E+1
6.437301636E+1,6.086349487E+1
6.631851196E+1,6.187438965E+1
6.452560425E+1,6.130218506E+1
6.652832031E+1,6.109237671E+1
6.526947021E+1,6.145477295E+1
6.385803223E+1,5.908966064E+1
6.364822388E+1,5.699157715E+1
6.765365601E+1,6.223678589E+1
6.397247314E+1,5.603790283E+1
6.757736206E+1,6.244659424E+1
6.526947021E+1,5.857467651E+1
6.828308105E+1,6.214141846E+1
6.652832031E+1,6.250381470E+1
6.742477417E+1,6.208419800E+1
6.389617920E+1,5.811691284E+1
6.641387939E+1,5.994796753E+1
6.786346436E+1,6.155014038E+1
7.091522217E+1,6.446838379E+1
6.278991699E+1,5.962371826E+1
6.660461426E+1,6.069183350E+1
6.992340088E+1,6.488800049E+1
6.940841675E+1,6.345748901E+1
6.275177002E+1,5.807876587E+1
6.744384766E+1,6.349563599E+1
6.689071655E+1,5.975723267E+1
6.690979004E+1,6.109237671E+1
6.492614746E+1,6.181716919E+1
6.488800049E+1,5.884170532E+1
7.017135620E+1,6.284713745E+1
6.788253784E+1,6.340026855E+1
6.929397583E+1,6.301879883E+1
6.750106812E+1,6.114959717E+1
7.045745850E+1,6.143569946E+1
6.383895874E+1,5.987167358E+1
6.589889526E+1,5.895614624E+1
6.431579590E+1,5.567550659E+1
6.612777710E+1,6.177902222E+1
6.179809570E+1,5.893707275E+1
6.740570068E+1,6.147384644E+1
6.673812866E+1,6.235122681E+1
6.656646729E+1,6.032943726E+1
6.299972534E+1,5.819320679E+1
6.565093994E+1,6.191253662E+1
6.507873535E+1,5.983352661E+1
6.658554077E+1,6.080627441E+1
6.822586060E+1,6.330490112E+1
6.586074829E+1,5.918502808E+1
6.797790527E+1,6.235122681E+1
6.916046143E+1,6.023406982E+1
6.490707397E+1,6.101608276E+1
6.689071655E+1,6.229400635E+1
6.855010986E+1,6.315231323E+1
6.521224976E+1,6.175994873E+1
6.622314453E+1,5.935668945E+1
6.589889526E+1,6.185531616E+1
6.643295288E+1,6.156921387E+1
6.885528564E+1,6.336212158E+1
6.486892700E+1,5.992889404E+1
6.582260132E+1,6.189346313E+1
6.610870361E+1,6.198883057E+1
7.026672363E+1,6.471633911E+1
6.975173950E+1,6.301879883E+1
6.761550903E+1,6.250381470E+1
6.460189819E+1,6.160736084E+1
6.795883179E+1,6.326675415E+1
6.486892700E+1,6.168365479E+1
6.898880005E+1,6.462097168E+1
6.589889526E+1,6.069183350E+1
6.292343140E+1,5.758285522E+1
6.771087646E+1,5.887985229E+1
6.408691406E+1,5.992889404E+1
6.746292114E+1,6.074905396E+1
6.881713867E+1,6.547927856E+1
6.460189819E+1,5.840301514E+1
6.818771362E+1,6.221771240E+1
6.887435913E+1,6.395339966E+1
6.614685059E+1,6.025314331E+1
6.593704224E+1,6.069183350E+1
6.206512451E+1,5.701065063E+1
6.982803345E+1,6.299972534E+1
6.963729858E+1,6.259918213E+1
6.645202637E+1,6.267547607E+1
6.864547729E+1,6.185531616E+1
6.555557251E+1,6.187438965E+1
