ome	zstar	zpr	zppr	zstarFi	zprFi	zpprFi	zprS	zpprS	zC
2162162.1621621633	4340.428007739569	148.1009933547866	4337.900573565214	4398.9303292379855	360.9636460569619	4384.09549254063	355.1951712612803	4381.799864906544	(355.1951712612803+4381.799864906544j)
1951219.512195123	3930.144009327714	148.0546843438436	3927.3542932231567	3985.513797352002	350.73396059577914	3970.0511228154196	350.73699255955415	3968.8020264853158	(350.73699255955415+3968.8020264853158j)
1777777.7777777787	3592.7755005800473	148.02201199067161	3589.7249590371744	3645.902654844315	343.70469745134466	3629.6657214612346	345.88324806366495	3628.8144832234966	(345.88324806366495+3628.8144832234966j)
1632653.0612244906	3310.4627330231133	147.9884689348713	3307.153295478934	3362.0237784156034	339.12673500697787	3344.8762225582336	340.72638003286426	3343.9729874102336	(340.72638003286426+3343.9729874102336j)
1509433.9622641518	3070.7402954124364	147.95361157220088	3067.1738931290474	3121.2591571071325	336.4758421936725	3103.0698885853644	335.59029891232166	3101.7750753447694	(335.59029891232166+3101.7750753447694j)
1403508.7719298254	2864.6427912071686	147.92077225793204	2860.821169935271	2914.531421933945	335.3723717092534	2895.1716325175635	330.83501578609923	2893.27528813431	(330.83501578609923+2893.27528813431j)
1311475.4098360664	2685.5532473126996	147.88064770646855	2681.4786141578124	2735.142925844179	335.53295166719573	2714.484198359047	326.54342217320715	2711.9695612032483	(326.54342217320715+2711.9695612032483j)
1230769.2307692317	2528.493742557313	147.86386244564267	2524.166572224215	2578.04317100952	336.74022470605104	2555.9563010062866	322.53246451813595	2552.8145930634364	(322.53246451813595+2552.8145930634364j)
1095890.4109589048	2265.9615006818585	147.8188779745161	2261.134914569835	2310.9514519485883	320.98869690016124	2288.550386101566	315.3742591627139	2286.560100870282	(315.3742591627139+2286.560100870282j)
987654.3209876548	2055.2149492350377	147.71053644038264	2049.900018289593	2096.7834566676825	309.3029504905051	2073.844871000033	308.29957220946227	2072.3838137359344	(308.29957220946227+2072.3838137359344j)
898876.4044943824	1882.3036644025117	147.605518243758	1876.5073130705127	1921.2634648550306	300.5962063043902	1897.6024931850627	301.3666774280439	1896.3692830906236	(301.3666774280439+1896.3692830906236j)
824742.2680412375	1737.8635267028017	147.4903946839934	1731.5935495721446	1774.8250606763206	294.14054370654145	1750.281502088371	294.576393771449	1749.0997582786645	(294.576393771449+1749.0997582786645j)
761904.7619047624	1615.3872215770418	147.36679475604961	1608.6512684350587	1650.8170732877984	289.4299349089947	1625.246849631485	288.0931113309831	1623.9600639006292	(288.0931113309831+1623.9600639006292j)
707964.6017699119	1510.2100130103374	147.23524786899105	1503.0156569981698	1544.4714122091282	286.1008999614217	1517.741156512705	282.06320617899115	1516.222545120451	(282.06320617899115+1516.222545120451j)
661157.0247933888	1418.8990069300803	147.08931883142105	1411.2544505343028	1452.2804004999757	283.8847119975998	1424.263961479897	276.80708218597334	1422.658165514573	(276.80708218597334+1422.658165514573j)
620155.0387596904	1338.881104118693	146.95580869635486	1330.7917197129275	1371.6059076342967	282.5774681336296	1342.1820816716674	271.8800896032	1340.5185911215142	(271.8800896032+1340.5185911215142j)
551724.1379310348	1205.233093302367	146.65608494623876	1196.2770590207913	1233.9692991013897	267.6084987298431	1204.6019768090762	263.2206849427625	1203.1965620879905	(263.2206849427625+1203.1965620879905j)
496894.40993788844	1098.0177726167387	146.27634500046477	1088.2307934788141	1123.7348234510227	256.22600057437654	1094.1335339281768	255.1841134234141	1092.7812482413	(255.1841134234141+1092.7812482413j)
451977.4011299438	1010.0784664780241	145.8746576855274	999.4894159958509	1033.4663751140015	247.45859976515862	1003.4027057435819	247.71586460634364	1002.1008134472878	(247.71586460634364+1002.1008134472878j)
414507.77202072565	936.6193470319964	145.44145409965026	925.2581178590235	958.1934575868523	240.65628527735035	927.4800561299168	240.72204420230287	926.2694046839449	(240.72204420230287+926.2694046839449j)
382775.11961722514	874.3156265416584	144.98003734193875	862.2114610623445	894.4673325912765	235.36698649223734	862.9450682068449	234.24001444375554	861.8074766749181	(234.24001444375554+861.8074766749181j)
355555.5555555558	820.7882052586442	144.49283106009966	807.969739324403	839.8198456218549	231.26561215920466	807.3497319829521	228.28585854049768	806.2263902022628	(228.28585854049768+806.2263902022628j)
331950.20746887993	774.2888057707044	143.97757918736446	760.7848654075406	792.4378666984562	228.11151253556426	758.8958495250434	223.1534150250588	757.981547742906	(223.1534150250588+757.981547742906j)
311284.0466926072	733.508868671389	143.45148019643582	719.3447944129662	750.9593745284623	225.7219558301106	716.2329096379256	218.3863949169802	715.5796230718119	(218.3863949169802+715.5796230718119j)
276816.60899653996	665.3023434321553	142.33216208557016	649.8990412459189	679.9732955401902	213.18023250566472	645.6917771790327	210.1041152456642	644.6671888339222	(210.1041152456642+644.6671888339222j)
249221.1838006232	610.4624278289133	141.1132570452749	593.928804215493	623.0813066899061	203.52760782436764	588.9030714809452	202.68261918389726	587.6034465665068	(202.68261918389726+587.6034465665068j)
226628.8951841361	565.3652404521912	139.8416195379603	547.797568958246	576.4449855958655	195.9701308220406	542.1111779369708	195.9849948708329	540.7365739627633	(195.9849948708329+540.7365739627633j)
207792.20779220795	527.5852942899756	138.52140307548967	509.0756953941505	537.502182274108	189.97694049181104	502.8094649375639	189.86940400851367	501.5381926018804	(189.86940400851367+501.5381926018804j)
191846.52278177472	495.44316701564964	137.16391460999608	476.07771662971015	504.4773218675631	185.1793924709075	469.26107965904697	184.28937880161894	468.1418613862336	(184.28937880161894+468.1418613862336j)
178173.7193763921	467.7381832686183	135.7784018732467	447.5971779090823	476.10110157564657	181.31321325179636	440.22468992760133	179.2148871394635	439.22675116880714	(179.2148871394635+439.22675116880714j)
166320.16632016643	443.5891984943796	134.37278686578796	422.7473609270762	451.4420859737552	178.1837611724257	414.78971086899367	174.8468023179086	414.11921008871855	(174.8468023179086+414.11921008871855j)
155945.41910331397	422.3352371899166	132.95570900839704	400.8613625860412	429.8012989493267	175.64427852231398	392.273175224746	170.81352809423063	391.97768678071344	(170.81352809423063+391.97768678071344j)
138648.1802426344	386.6000893516713	130.10847791152332	364.0486410663647	392.6563792920309	165.97834210435252	355.85140459329057	163.84601630451695	354.875679031937	(163.84601630451695+354.875679031937j)
124804.99219968807	357.6633617297852	127.27882432291791	334.250177565887	362.74731106067117	158.45130423998404	326.31088836628686	157.71437025710622	324.9165899925152	(157.71437025710622+324.9165899925152j)
113475.17730496461	333.69766841615706	124.50446524043876	309.60098843765326	338.1049759921877	152.47034812046755	301.7743656023507	152.27056723572787	300.27124489615017	(152.27056723572787+300.27124489615017j)
104031.20936280892	313.4820433940334	121.80849224684447	288.8488925840794	317.41655333808495	147.64036408854443	280.990375680078	147.37031951249392	279.6222792895303	(147.37031951249392+279.6222792895303j)
96038.41536614652	296.1697224674136	119.20820540432801	271.11973050795166	299.7731636417132	143.68788186275043	263.0926495468044	142.92509942504148	261.92537541608937	(142.92509942504148+261.92537541608937j)
89186.17614269795	281.15441202093666	116.71489891186289	255.78396308375596	284.5256114575822	140.41748232905726	247.46263199052888	138.88557412387635	246.4680904722744	(138.88557412387635+246.4680904722744j)
83246.6181061395	267.99032286458356	114.33592635908039	242.37596640895458	271.1977679594161	137.68563542267836	233.6469455062972	135.40290198986403	233.02733488360948	(135.40290198986403+233.02733488360948j)
78048.78048780494	256.3416612847654	112.07269968424511	230.54448008078268	259.43244773792895	135.38437774576715	221.30581827345765	132.1883589757511	221.09680539328662	(132.1883589757511+221.09680539328662j)
69384.21509106683	236.6177593825731	107.89973400358717	210.5839772090564	239.17634434799479	128.18905850215575	201.92297783066064	126.64211125472794	201.02546891207794	(126.64211125472794+201.02546891207794j)
62451.20999219364	220.51529663011954	104.1834057965714	194.35229354061283	222.71097857618315	122.49444944439918	185.9980909409412	121.8031001217346	184.7239156629976	(121.8031001217346+184.7239156629976j)
56777.85663591204	207.0898629345663	100.8838240882736	180.8553714092665	209.02692386001945	117.89057381361536	172.6095811485529	117.5487058606058	171.27869179871286	(117.5487058606058+171.27869179871286j)
52049.446974625935	195.70517594123342	97.9591400638477	169.42409146322905	197.44869307370388	114.10365788700094	161.1407510635344	113.75278668895898	159.98773774821188	(113.75278668895898+159.98773774821188j)
48048.048048048084	185.91499957301556	95.36419607590422	159.5934120602441	187.5062526464933	110.94356955768242	151.16255870859774	110.31811740840574	150.25025403175434	(110.31811740840574+150.25025403175434j)
44617.958728388214	177.39639281081742	93.05588429873417	151.03007177271166	178.86173948271457	108.27384546428753	142.3667666246517	107.19564113910332	141.6769485666843	(107.19564113910332+141.6769485666843j)
41644.97657470071	169.90921167459177	90.99361542141912	143.489728428275	171.26555979637598	105.99377377309865	134.52587815622397	104.49630655398046	134.20717697342639	(104.49630655398046+134.20717697342639j)
39043.435822352396	163.27125732685377	89.1443475444656	136.78738527350842	164.5289928933248	104.02724329623197	127.46812211168049	102.0102917554616	127.54599510394002	(102.0102917554616+127.54599510394002j)
34707.158351410006	152.00664568224445	85.95662258326348	125.36937172071099	152.9806128054272	98.74862258530645	116.84082091387728	97.72921537754237	116.30981461646999	(97.72921537754237+116.30981461646999j)
