ome	gStar	gStarABS	gpr	gppr
43.596516420355464	(24.66398695778189+1.464661816556732j)	24.70743788599932	24.66398695778189	1.464661816556732
40.69008347062001	(24.582645372043363+1.4821424290467802j)	24.627285673976044	24.582645372043363	1.4821424290467802
38.14695446636467	(24.504926657676304+1.5071724839091187j)	24.55123213597125	24.504926657676304	1.5071724839091187
33.90840576663305	(24.368474192549204+1.5596292272560424j)	24.418332821866603	24.368474192549204	1.5596292272560424
30.51756648347228	(24.248423239151936+1.6210541353723007j)	24.302548139955437	24.248423239151936	1.6210541353723007
27.743243219811465	(24.14389071101298+1.6827473925516991j)	24.2024605660763	24.14389071101298	1.6827473925516991
25.431307019771904	(24.051370469296558+1.744581641658632j)	24.114559638437584	24.051370469296558	1.744581641658632
23.475053207675302	(23.96528447123259+1.8162213855844969j)	24.034007570701903	23.96528447123259	1.8162213855844969
21.798264149730112	(23.883049144851505+1.9022821508446377j)	23.958687648467194	23.883049144851505	1.9022821508446377
20.34504690932036	(23.81110001039155+1.978694188614463j)	23.89317296628736	23.81110001039155	1.978694188614463
19.07348178065259	(23.742824138517676+2.063133702758702j)	23.832293610729884	23.742824138517676	2.063133702758702
16.954206476379728	(23.623381966826283+2.2230751530253303j)	23.727752499690567	23.623381966826283	2.2230751530253303
15.258786152117517	(23.518159686114085+2.383030336887126j)	23.638584319034127	23.518159686114085	2.383030336887126
13.871624015179727	(23.425989281661934+2.531439966903762j)	23.56236749841954	23.425989281661934	2.531439966903762
12.715655530984325	(23.343764726988642+2.6708645875349264j)	23.4960607182129	23.343764726988642	2.6708645875349264
11.737528325957038	(23.265794472576147+2.819485152969219j)	23.436012650789564	23.265794472576147	2.819485152969219
10.899133559753759	(23.188354126714458+2.9856372098220456j)	23.379773237877853	23.188354126714458	2.9856372098220456
10.172524748163262	(23.121102988846005+3.1333550209848124j)	23.332452016630278	23.121102988846005	3.1333550209848124
9.536742027194265	(23.053948076173405+3.288850103876796j)	23.287358306700867	23.053948076173405	3.288850103876796
8.477104136455951	(22.933054184454683+3.5765410898221197j)	23.21026971825878	22.933054184454683	3.5765410898221197
7.629393803654312	(22.817394398270366+3.8505588967869198j)	23.140014929637466	22.817394398270366	3.8505588967869198
6.935812608908517	(22.710200614349514+4.097122332609614j)	23.076820044199533	22.710200614349514	4.097122332609614
6.357828270766876	(22.608692086929075+4.321997122026417j)	23.01809325301238	22.608692086929075	4.321997122026417
5.86876459350846	(22.500516729401365+4.550464259098235j)	22.956044477727453	22.500516729401365	4.550464259098235
5.44956715109913	(22.378281939191517+4.792977411238669j)	22.885806409532293	22.378281939191517	4.792977411238669
5.086262697457463	(22.27157971959347+5.009173990600461j)	22.827945314336006	22.27157971959347	5.009173990600461
4.768371297814176	(22.155399445453316+5.2273807584758485j)	22.763726280679016	22.155399445453316	5.2273807584758485
4.238552292794533	(21.936977055060773+5.622476176662327j)	22.646041611535516	21.936977055060773	5.622476176662327
3.8146970837260703	(21.7148909260758+5.980042921004441j)	22.52326355722954	21.7148909260758	5.980042921004441
3.467906454783942	(21.503861224013452+6.290490653173094j)	22.40505122063521	21.503861224013452	6.290490653173094
3.1789142617021318	(21.3006501145113+6.563244986034103j)	22.288873458466494	21.3006501145113	6.563244986034103
2.9343824043867275	(21.080944072406265+6.823667753888585j)	22.15781227015383	21.080944072406265	6.823667753888585
2.7247836683551374	(20.83362096453206+7.081457776589058j)	22.00424519803857	20.83362096453206	7.081457776589058
2.5431314295726977	(20.61566767817685+7.312010005483813j)	21.87398555675945	20.61566767817685	7.312010005483813
2.3841857199613554	(20.383341966221877+7.531321562521404j)	21.730196367958616	20.383341966221877	7.531321562521404
2.1192762025389102	(19.95110874802095+7.915612933560589j)	21.4640086747399	19.95110874802095	7.915612933560589
1.9073485873377671	(19.52820740451363+8.236683567573243j)	21.194193559228246	19.52820740451363	8.236683567573243
1.733953264974394	(19.137338186109524+8.498671985992093j)	20.93955917336878	19.137338186109524	8.498671985992093
1.589457162430741	(18.771585903957675+8.713545856659426j)	20.695369500102412	18.771585903957675	8.713545856659426
1.4671912291014895	(18.395013132800262+8.896927740393417j)	20.433595654550768	18.395013132800262	8.896927740393417
1.3623918573789628	(17.993415984016153+9.05541184825156j)	20.143572238193077	17.993415984016153	9.05541184825156
1.271565734997341	(17.638457861555814+9.198061511777725j)	19.89270045288791	17.638457861555814	9.198061511777725
1.1920928777442452	(17.27633401573074+9.317067701461298j)	19.62853707174094	17.27633401573074	9.317067701461298
1.0596381153048666	(16.61736591327924+9.50872357982833j)	19.145565387666096	16.61736591327924	9.50872357982833
0.9536743050375669	(16.00365664725067+9.633580767145567j)	18.679478164022875	16.00365664725067	9.633580767145567
0.8669766418828033	(15.454016421013907+9.711112639030164j)	18.251913111476807	15.454016421013907	9.711112639030164
0.7947285891102897	(14.955393187528388+9.751780266013029j)	17.85387923534187	14.955393187528388	9.751780266013029
0.7335956212777764	(14.4679566668751+9.756415693609682j)	17.450198202343977	14.4679566668751	9.756415693609682
0.6811959344898303	(13.976716751991692+9.728049969035613j)	17.02890388032826	13.976716751991692	9.728049969035613
0.6357828725514189	(13.542586110337666+9.704540026162661j)	16.66072434425658	13.542586110337666	9.704540026162661
0.5960464433130146	(13.118511108651314+9.65866121930492j)	16.290643641584968	13.118511108651314	9.65866121930492
0.5298190611612863	(12.364614085085616+9.554568611306635j)	15.626050774948338	12.364614085085616	9.554568611306635
0.4768371553609544	(11.695044309848692+9.416805873323552j)	15.015002306532796	11.695044309848692	9.416805873323552
