ome	zstar	zpr	zppr	zC
3004.6948356807534	434.6599280309759	399.69695285427497	170.79695229980132	(399.69695285427497+170.79695229980132j)
2790.081261116732	425.6812832446965	393.81255844507604	161.60514755352034	(393.81255844507604+161.60514755352034j)
2604.081898375706	417.72958942207765	388.5107803782637	153.48414709216752	(388.5107803782637+153.48414709216752j)
2441.3317464676998	410.63266783169684	383.69863804619484	146.2687357300658	(383.69863804619484+146.2687357300658j)
2170.080021700802	398.48636386046826	375.2710064086531	134.0263180564704	(375.2710064086531+134.0263180564704j)
1953.0773174483056	388.4488708878669	368.1036755369275	124.06534306672087	(368.1036755369275+124.06534306672087j)
1775.5287746632052	379.99797895813595	361.904738994676	115.85950071299027	(361.904738994676+115.85950071299027j)
1627.5710536488118	372.76823782193514	356.47305745764925	109.00971716166548	(356.47305745764925+109.00971716166548j)
1502.3756314672585	366.49763152393996	351.6624554399789	103.21836729275715	(351.6624554399789+103.21836729275715j)
1395.0649577120944	360.9931095850187	347.3637509598103	98.25705922218616	(347.3637509598103+98.25705922218616j)
1302.062140915676	356.1094966665592	343.4932769251379	93.94861533487696	(343.4932769251379+93.94861533487696j)
1220.6844988327211	351.7373881597491	339.98498271064483	90.16319515569838	(339.98498271064483+90.16319515569838j)
1085.0547274478163	344.2019130908277	333.85645979154043	83.75452961389777	(333.85645979154043+83.75452961389777j)
976.5505792165628	337.8979943276936	328.6658297869607	78.44633134268683	(328.6658297869607+78.44633134268683j)
887.7742390110199	332.51822357562094	324.19881354185065	73.9154808409103	(324.19881354185065+73.9154808409103j)
813.7938049946598	327.8545608135297	320.304205174133	69.95590892840545	(320.304205174133+69.95590892840545j)
751.1948693390428	323.7622661671803	316.8714960589884	66.44140259692453	(316.8714960589884+66.44140259692453j)
697.5385608035648	320.13608915312216	313.81796227979135	63.28824637178093	(313.81796227979135+63.28824637178093j)
651.0363685191368	316.89680666884084	311.0802671937402	60.43718590056849	(311.0802671937402+60.43718590056849j)
610.3469059226542	313.9834394898069	308.6090393369895	57.84514770790822	(308.6090393369895+57.84514770790822j)
542.531042948114	308.949310812944	304.3166327353528	53.301629359799705	(304.3166327353528+53.301629359799705j)
488.27826978595124	304.7451004555439	300.70778360907246	49.44092564443734	(300.70778360907246+49.44092564443734j)
443.88958246636173	301.1761977723577	297.62466632001303	46.11572511102042	(297.62466632001303+46.11572511102042j)
406.89897207147203	298.1052128756269	294.9558538582045	43.2176146773552	(294.9558538582045+43.2176146773552j)
375.5991980957123	295.43287152671724	292.6203364774566	40.66841843915125	(292.6203364774566+40.66841843915125j)
348.77080090854815	293.08568430106203	290.55772682538685	38.41127079758828	(290.55772682538685+38.41127079758828j)
325.51950879106147	291.00759889707416	288.72181449465705	36.40242369339202	(288.72181449465705+36.40242369339202j)
305.17461710122285	289.1562594854636	287.07716653572845	34.61275564647194	(287.07716653572845+34.61275564647194j)
