t	msd
0.021299212499999984	1.7631056233972448e-17
0.022937612499999982	1.765749132117329e-17
0.02457601249999998	1.7680113843764527e-17
0.02621441249999998	1.7699603003047762e-17
0.029491212499999978	1.7731299347658448e-17
0.03276801249999998	1.7755913998207648e-17
0.03604481249999998	1.777568248755212e-17
0.03932161249999998	1.7792107008718858e-17
0.042598412499999974	1.7806197774042424e-17
0.04587521249999997	1.781863615608967e-17
0.04915201249999997	1.782988216965232e-17
0.05242881249999996	1.7840248470628256e-17
0.05898241249999996	1.7859126813130788e-17
0.06553601249999996	1.7876298585408842e-17
0.07208961249999996	1.7892266968773068e-17
0.07864321249999995	1.7907295843904708e-17
0.08519681249999994	1.792153593934125e-17
0.09175041249999993	1.793508380135932e-17
0.09830401249999993	1.794800868067512e-17
0.10485761249999992	1.7960363598861596e-17
0.11796481249999992	1.7983532250827732e-17
0.13107201249999992	1.800487260220067e-17
0.14417921249999993	1.8024604680057595e-17
0.15728641249999992	1.8042906255060866e-17
0.1703936124999999	1.8059925381106662e-17
0.1835008124999999	1.8075786567864208e-17
0.19660801249999987	1.809059720988222e-17
0.20971521249999986	1.8104450674534943e-17
0.23592961249999986	1.8129606133604746e-17
0.26214401249999986	1.8151811353198054e-17
0.2883584124999998	1.817152175842566e-17
0.3145728124999998	1.8189114238511266e-17
0.34078721249999977	1.820490506617271e-17
0.36700161249999974	1.821916181548051e-17
0.3932160124999997	1.8232110741879544e-17
0.4194304124999997	1.8243944902001788e-17
0.4718592124999997	1.8264898781996697e-17
0.5242880124999997	1.828306367373153e-17
0.5767168124999997	1.829919388214314e-17
0.6291456124999997	1.8313837112655384e-17
0.6815744124999996	1.8327391545988776e-17
0.7340032124999996	1.8340145548255856e-17
0.7864320124999995	1.835230861423489e-17
0.8388608124999994	1.836403319517357e-17
0.9437184124999994	1.8386578251777076e-17
1.0485760124999994	1.840834874971033e-17
1.1534336124999993	1.842964453231486e-17
1.2582912124999992	1.8450623955425865e-17
1.363148812499999	1.8471370740029975e-17
1.468006412499999	1.8491929655813498e-17
1.5728640124999989	1.8512324570288004e-17
1.6777216124999987	1.8532568258985358e-17
1.8874368124999987	1.8572629295052288e-17
2.0971520124999987	1.8612142146322605e-17
2.3068672124999985	1.865112041975728e-17
2.5165824124999983	1.8689572720266008e-17
2.726297612499998	1.8727506099644243e-17
2.936012812499998	1.876492793372836e-17
3.1457280124999976	1.8801844451123548e-17
3.3554432124999973	1.883826233044993e-17
3.7748736124999973	1.8909627629451117e-17
