sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.917686062E+1,5.863149515E+1,6.338700715E+1,5.389018123E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
4.199981689E+1,3.837585449E+1
3.566741943E+1,3.259658813E+1
2.170562744E+1,1.918792725E+1
2.508163452E+1,2.264022827E+1
4.407882690E+1,4.232406616E+1
6.021499634E+1,5.662918091E+1
9.523391724E+1,8.861541748E+1
1.582145691E+2,1.434326172E+2
1.607704163E+2,1.454353333E+2
1.378059387E+2,1.269340515E+2
1.441574097E+2,1.343727112E+2
1.276588440E+2,1.185607910E+2
6.322860718E+1,5.872726440E+1
5.723953247E+1,5.514144897E+1
2.975463867E+1,2.609252930E+1
1.922607422E+1,1.714706421E+1
1.871109009E+1,1.676559448E+1
1.493453979E+1,1.188278198E+1
2.016067505E+1,1.935958862E+1
7.858276367E+1,7.499694824E+1
1.113319397E+2,1.023674011E+2
9.649276733E+1,8.901596069E+1
7.484436035E+1,6.816864014E+1
8.583068848E+1,7.762908936E+1
8.243560791E+1,7.480621338E+1
8.405685425E+1,7.818222046E+1
8.857727051E+1,8.062362671E+1
8.434295654E+1,7.823944092E+1
8.815765381E+1,8.123397827E+1
7.875442505E+1,7.377624512E+1
8.707046509E+1,7.843017578E+1
8.882522583E+1,8.083343506E+1
1.054573059E+2,9.555816650E+1
1.060676575E+2,9.880065918E+1
9.126663208E+1,8.510589600E+1
8.483886719E+1,8.037567139E+1
7.316589355E+1,6.891250610E+1
6.689071655E+1,5.821228027E+1
6.456375122E+1,5.990982056E+1
6.299972534E+1,5.861282349E+1
5.521774292E+1,5.069732666E+1
7.137298584E+1,6.624221802E+1
8.840560913E+1,8.028030396E+1
9.469985962E+1,8.819580078E+1
1.258468628E+2,1.164436340E+2
1.424217224E+2,1.282691956E+2
1.466369629E+2,1.314735413E+2
1.575660706E+2,1.444244385E+2
1.566123962E+2,1.390075684E+2
1.069641113E+2,9.649276733E+1
1.027679443E+2,9.222030640E+1
7.492065430E+1,6.797790527E+1
5.367279053E+1,4.814147949E+1
5.207061768E+1,4.882812500E+1
6.044387817E+1,5.340576172E+1
8.096694946E+1,7.305145264E+1
9.138107300E+1,8.432388306E+1
1.202774048E+2,1.108741760E+2
1.469230652E+2,1.383781433E+2
1.590728760E+2,1.457786560E+2
1.681518555E+2,1.549339294E+2
1.786422729E+2,1.627731323E+2
1.555824280E+2,1.435852051E+2
1.409149170E+2,1.278305054E+2
1.051521301E+2,9.635925293E+1
6.528854370E+1,6.015777588E+1
3.559112549E+1,3.170013428E+1
1.785278320E+1,1.676559448E+1
1.882553101E+1,1.762390137E+1
3.589630127E+1,3.396987915E+1
6.183624268E+1,5.672454834E+1
8.941650391E+1,7.883071899E+1
1.174163818E+2,1.114463806E+2
1.379776001E+2,1.265335083E+2
1.510429382E+2,1.415824890E+2
1.231193542E+2,1.122283936E+2
1.157951355E+2,1.064109802E+2
8.100509644E+1,7.553100586E+1
6.071090698E+1,5.565643311E+1
3.511428833E+1,3.099441528E+1
2.004623413E+1,1.766204834E+1
1.831054687E+1,1.707077026E+1
2.597808838E+1,2.462387085E+1
4.762649536E+1,4.241943359E+1
7.537841797E+1,6.904602051E+1
9.780883789E+1,8.827209473E+1
1.223373413E+2,1.098632812E+2
1.041030884E+2,9.643554687E+1
9.859085083E+1,9.042739868E+1
1.052284241E+2,9.862899780E+1
1.004219055E+2,8.863449097E+1
1.050567627E+2,9.704589844E+1
9.531021118E+1,8.760452271E+1
8.861541748E+1,8.245468140E+1
7.123947144E+1,6.509780884E+1
4.186630249E+1,3.656387329E+1
3.103256226E+1,2.649307251E+1
1.674652100E+1,1.449584961E+1
1.674652100E+1,1.609802246E+1
2.077102661E+1,1.846313477E+1
2.998352051E+1,2.874374390E+1
4.177093506E+1,3.992080688E+1
5.550384521E+1,5.252838135E+1
7.686614990E+1,7.028579712E+1
1.024818420E+2,9.483337402E+1
1.310920715E+2,1.167678833E+2
1.435470581E+2,1.357841492E+2
1.520538330E+2,1.373672485E+2
1.675796509E+2,1.526451111E+2
1.836967468E+2,1.679420471E+2
1.603317261E+2,1.493453979E+2
